listing_id,link_url,listing_title,business_types,listing_type,property_type,sale_price,rental_price,rental_period,yearly_iptu,monthly_condo_fee,amenities,usable_area,bathrooms,bedrooms,parking_spaces,state,city,suburb,advertiser_name,portal,aquisition_date,dupkey,sub_raw,macro_zone,micro_zone,ppsm,am_pool,am_elevator,am_gym,am_grill,am_partyhall,am_playground,am_sauna,am_furnished,is_beachfront_title,bed_bucket,txt_dist_m,txt_frentemar,txt_quadra_mar,is_offplan,dist_beach_km,guests_est,rev_pred,capex,occ,opex,noi,gross_yield,net_yield,payback_yrs,condo_annual,n_comps,ppsm_z
2762836313,https://www.vivareal.com.br/imovel/apartamento-2-quartos-morretes-bairros-itapema-com-garagem-55m2-venda-RS420000-id-2762836313/,"APARTAMENTOS EM ITAPEMA, COM 02 DORMS, PREÇO POPULAR!!! Morretes",Venda,apartamento,UNIT,420000.0,,,500.0,300.0,"[""ELECTRONIC_GATE"", ""PETS_ALLOWED"", ""DISABLED_ACCESS"", ""BICYCLES_PLACE""]",55,1,2,1,SC,Itapema,Morretes,Nei Costa,GRUPOZAP,2025-01-11 00:00:00.000,Nei Costa|420000.0|55|2|Morretes,morretes,Morretes,Morretes,7636.363636363636,0,0,0,0,0,0,0,0,0,2,,0,0,0,0.3257284929846319,4.0,107376.0923186173,476130.0,0.695937838429473,41958.99745992756,65417.09485868974,0.2255184347103045,0.1373933481584645,7.278372740772251,3600.0,51.0,-1.3199649100689945
2669009410,https://www.vivareal.com.br/imovel/apartamento-2-quartos-morretes-bairros-itapema-com-garagem-61m2-venda-RS445000-id-2669009410/,"Apto mobilado a venda, 2 dormitórios, 1 vaga privativa, Morretes - Itapema - SC",Venda,apartamento,UNIT,445000.0,,,400.0,330.0,"[""FURNISHED"", ""PETS_ALLOWED"", ""AIR_CONDITIONING"", ""INTERNET_ACCESS"", ""AMERICAN_KITCHEN"", ""SAFETY_CIRCUIT"", ""ELECTRONIC_GATE""]",61,1,2,1,SC,Itapema,Morretes,Airton Investimentos Imobiliários BC,GRUPOZAP,2025-01-11 00:00:00.000,Airton Investimentos Imobiliários BC|445000.0|61|2|Morretes,morretes,Morretes,Morretes,7295.081967213115,0,0,0,0,0,0,0,1,0,2,,0,0,0,0.3257284929846319,4.0,107376.0923186173,507742.5,0.695937838429473,42335.24745992756,65040.84485868974,0.211477456227551,0.128098090781626,7.806517598335954,3960.0,51.0,-1.42912261234017
2749772401,https://www.vivareal.com.br/imovel/apartamento-2-quartos-morretes-bairros-itapema-com-garagem-58m2-venda-RS450000-id-2749772401/,Apto 58 m² 2 quartos 1 vaga de garagem,Venda,apartamento,UNIT,450000.0,,,,270.0,"[""PETS_ALLOWED"", ""FURNISHED""]",58,1,2,1,SC,Itapema,Morretes,RE/MAX Sea,GRUPOZAP,2025-01-11 00:00:00.000,RE/MAX Sea|450000.0|58|2|Morretes,morretes,Morretes,Morretes,7758.620689655172,0,0,0,0,0,0,0,1,0,2,,0,0,0,0.3257284929846319,4.0,107376.0923186173,509025.0,0.695937838429473,43330.99745992756,64045.09485868974,0.2109446339936492,0.1258191539878979,7.9479154667991665,3240.0,51.0,-1.2808614356369623
2767581974,https://www.vivareal.com.br/imovel/apartamento-2-quartos-morretes-bairros-itapema-com-garagem-50m2-venda-RS495000-id-2767581974/,APARTAMENTO A VENDA EM ITAPEMA,Venda,apartamento,UNIT,495000.0,,,100.0,100.0,"[""GARAGE""]",50,1,2,1,SC,Itapema,Morretes,HRM Imóveis,GRUPOZAP,2025-01-11 00:00:00.000,HRM Imóveis|495000.0|50|2|Morretes,morretes,Morretes,Morretes,9900.0,0,0,0,0,0,0,0,0,0,2,,0,0,0,0.3257284929846319,4.0,107376.0923186173,543367.5,0.695937838429473,39507.74745992756,67868.34485868974,0.1976122832495821,0.1249032098141492,8.006199372201548,1200.0,51.0,-0.5959490411620585
2676718894,https://www.vivareal.com.br/imovel/apartamento-3-quartos-morretes-bairros-itapema-com-garagem-69m2-venda-RS685000-id-2676718894/,"LA2007, 69 metros quadrados com 3 quartos sendo uma suíte, em Morretes - Itapema - SC",Venda,apartamento,UNIT,685000.0,,,490.0,350.0,"[""POOL"", ""BARBECUE_GRILL"", ""ELEVATOR"", ""GATED_COMMUNITY"", ""GYM"", ""PETS_ALLOWED"", ""GOURMET_SPACE"", ""GARDEN"", ""PLAYGROUND"", ""PARTY_HALL"", ""CONCIERGE_24H"", ""INTERNET_ACCESS"", ""AMERICAN_KITCHEN"", ""SECURITY_CAMERA"", ""GAMES_ROOM"", ""DISABLED_ACCESS"", ""ELECTRONIC_GATE""]",69,2,3,1,SC,Itapema,Centro,Airton Investimentos Imobiliários BC,GRUPOZAP,2025-01-11 00:00:00.000,Airton Investimentos Imobiliários BC|685000.0|69|3|Centro,centro,Centro,Centro,9927.536231884058,1,1,1,1,1,1,0,0,0,3,,0,0,0,0.196202185867394,6.0,138271.88257797496,751702.5,0.7415089159550351,50708.91046015645,87562.97211781851,0.1839449550559895,0.1164862058032513,8.584707460461285,4200.0,45.0,-1.4733293107506957
2769186854,https://www.vivareal.com.br/imovel/apartamento-2-quartos-morretes-bairros-itapema-com-garagem-56m2-venda-RS459640-id-2769186854/,Apartamento em Rua 416 - Morretes - Itapema/SC,Venda,apartamento,UNIT,459640.0,,,765.0,1.0,"[""POOL"", ""BARBECUE_GRILL"", ""ELEVATOR"", ""PETS_ALLOWED"", ""PLAYGROUND"", ""PARTY_HALL"", ""ADULT_GAME_ROOM""]",56,1,2,1,SC,Itapema,Morretes,USUÁRIO NEWCORE,GRUPOZAP,2025-01-11 00:00:00.000,USUÁRIO NEWCORE|459640.0|56|2|Morretes,morretes,Morretes,Morretes,8207.857142857143,1,1,0,1,1,1,0,0,0,2,,0,0,0,0.3257284929846319,4.0,96281.77009504354,516038.46,0.695937838429473,36601.45901521281,59680.31107983073,0.1865786710840187,0.1156508975703685,8.646711966861679,12.0,51.0,-1.1371747878013538
2736813751,https://www.vivareal.com.br/imovel/apartamento-2-quartos-morretes-bairros-itapema-com-garagem-57m2-venda-RS420000-id-2736813751/,"Apartamento com 2 dormitórios à venda, 56 m² por R$ 420.000,00 - Morretes - Itapema/SC",Venda,apartamento,UNIT,420000.0,,,,,"[""POOL"", ""BARBECUE_GRILL"", ""ELEVATOR"", ""GATED_COMMUNITY"", ""BALCONY"", ""BACKYARD"", ""SPORTS_COURT"", ""INTERCOM""]",57,1,2,1,SC,Itapema,Morretes,Winner Brokers,GRUPOZAP,2025-01-11 00:00:00.000,Winner Brokers|420000.0|57|2|Morretes,morretes,Morretes,Morretes,7368.421052631579,1,1,0,1,0,0,0,0,0,2,,0,0,0,0.3257284929846319,4.0,96281.77009504354,478530.0,0.695937838429473,41793.13301521281,54488.63707983073,0.201203205849254,0.1138667107178875,8.782198007612315,4200.0,51.0,-1.4056653722520178
2714533420,https://www.vivareal.com.br/imovel/apartamento-2-quartos-morretes-bairros-itapema-com-garagem-53m2-venda-RS571143-id-2714533420/,Apartamento de 2 Dormitórios | Morretes | Itapema,Venda,apartamento,UNIT,571143.0,,,1.0,1.0,"[""ELEVATOR"", ""GYM"", ""SERVICE_AREA"", ""PARTY_HALL"", ""NEAR_SCHOOL"", ""KITCHEN"", ""INTERCOM"", ""DINNER_ROOM"", ""SQUARE"", ""ENTRANCE_HALL"", ""PET_SPACE"", ""SAUNA"", ""MEZZANINE"", ""NEAR_PUBLIC_TRANSPORT"", ""ESSENTIAL_PUBLIC_SERVICES"", ""WHIRLPOOL"", ""TOYS_PLACE"", ""COWORKING""]",53,1,2,1,SC,Itapema,Morretes,Boulevard Imob,GRUPOZAP,2025-01-11 00:00:00.000,Boulevard Imob|571143.0|53|2|Morretes,morretes,Morretes,Morretes,10776.283018867924,1,1,1,0,1,0,1,0,0,2,,0,0,0,0.3257284929846319,4.0,109659.16417812929,621321.1395,0.695937838429473,39031.42678182995,70627.73739629932,0.1764935348351032,0.1136734820468784,8.797126488899181,12.0,51.0,-0.31567310042091073
2690265792,https://www.vivareal.com.br/imovel/apartamento-2-quartos-morretes-bairros-itapema-com-garagem-70m2-venda-RS520000-id-2690265792/,"APARTAMENTO COM 02 DORMS., SENDO 01 SUITE, 02 VAGAS!!! Itapema Morretes!!!",Venda,apartamento,UNIT,520000.0,,,1000.0,300.0,"[""DISABLED_ACCESS"", ""BICYCLES_PLACE"", ""ELECTRONIC_GATE"", ""PETS_ALLOWED"", ""AIR_CONDITIONING""]",70,2,2,2,SC,Itapema,Morretes,Nei Costa,GRUPOZAP,2025-01-11 00:00:00.000,Nei Costa|520000.0|70|2|Morretes,morretes,Morretes,Morretes,7428.571428571428,0,0,0,0,0,0,0,0,0,2,,0,0,0,0.3257284929846319,6.0,110168.19089628063,591780.0,0.695937838429473,43482.41717546023,66685.7737208204,0.1861640996591311,0.1126867648802264,8.874156615134789,3600.0,51.0,-1.3864264929864412
2694368874,https://www.vivareal.com.br/imovel/apartamento-2-quartos-morretes-bairros-itapema-com-garagem-70m2-venda-RS520001-id-2694368874/,"APARTAMENTO COM 02 DORMS., SENDO 01 SUITE, 02 VAGAS!!! Itapema Morretes!!!",Venda,apartamento,UNIT,520001.0,,,1000.0,300.0,"[""DISABLED_ACCESS"", ""BICYCLES_PLACE"", ""ELECTRONIC_GATE"", ""PETS_ALLOWED"", ""AIR_CONDITIONING""]",70,2,2,2,SC,Itapema,Morretes,Nei Costa,GRUPOZAP,2025-01-11 00:00:00.000,Nei Costa|520001.0|70|2|Morretes,morretes,Morretes,Morretes,7428.585714285714,0,0,0,0,0,0,0,0,0,2,,0,0,0,0.3257284929846319,6.0,110168.19089628063,591780.9765,0.695937838429473,43482.42182546023,66685.7690708204,0.1861637924690548,0.1126865710777379,8.87417187723407,3600.0,51.0,-1.3864219237526156
